region,state,line_code,factor,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1999_percent_change,2000_percent_change,2001_percent_change,2002_percent_change,2003_percent_change,2004_percent_change,2005_percent_change,2006_percent_change,2007_percent_change,2008_percent_change,2009_percent_change,2010_percent_change,2011_percent_change,2012_percent_change,2013_percent_change,2014_percent_change,2015_percent_change,2016_percent_change,2017_percent_change,2018_percent_change,2019_percent_change,2020_percent_change,2021_percent_change,2022_percent_change
midwest,Michigan,13,  Regional price parities (RPPs) 9,,,,,,,,,,,95.858,96.044,96.195,95.209,95.019,95.232,95.485,93.725,93.631,92.704,94.458,95.309,94.413,94.193,93.428,,,,,,,,,,,0.00194037,0.001572196,-0.010250013,-0.00199561,0.002241657,0.00265667,-0.018432214,-0.001002934,-0.009900567,0.018920435,0.009009295,-0.009401001,-0.002330188,-0.008121623
midwest,Michigan,14,  Implicit regional price deflator 10,,,,,,,,,,,85.476,85.403,87.07,88.357,89.826,91.214,92.736,91.194,92.025,92.704,96.391,98.658,98.789,102.672,108.416,,,,,,,,,,,-0.000854041,0.019519221,0.014781211,0.016625734,0.015452096,0.016686035,-0.016627847,0.009112442,0.00737843,0.039771747,0.023518793,0.001327819,0.039305996,0.055945146
midwest,Michigan,15,  Total employment (number of jobs),5383530,5485654,5621494,5526201,5466125,5441678,5467547,5491717,5457438,5457366,5337592,5046457,5038098,5165197,5234356,5323127,5412068,5501527,5575793,5631139,5715122,5713233,5387741,5601637,5864009,0.018969709,0.024762772,-0.016951543,-0.010871121,-0.004472455,0.004753865,0.00442063,-0.006241946,-1.3193E-05,-0.021947218,-0.054544259,-0.00165641,0.025227576,0.013389422,0.016959297,0.016708412,0.016529541,0.013499161,0.009926122,0.014914034,-0.000330527,-0.056971596,0.039700498,0.046838451
midwest,Minnesota,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,354721.9,364799.7,368688.7,358127.2,374733.3,379111.5,,,,,,,,,,,,,,,,,,,,0.028410425,0.010660645,-0.028646118,0.046369279,0.011683509
midwest,Minnesota,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,261617.2,246937.4,256175.2,268028.4,277805.6,276131.6,283263.4,298148.3,302798.9,312566.2,313158.8,322277,342486.2,356783.2,347518.7,,,,,,,,,,,-0.056111754,0.037409481,0.046269897,0.036478224,-0.006025796,0.02582754,0.052547911,0.015598278,0.032256722,0.001895918,0.029116857,0.062707547,0.041744748,-0.02596675
midwest,Minnesota,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,217775,210783.9,216643.3,221412.2,223388.8,226982.9,229844.6,237698.8,244243.8,252123.8,251500.4,255081.8,243406.1,260129.6,266445.2,,,,,,,,,,,-0.032102399,0.027798138,0.022012682,0.008927241,0.016088989,0.012607558,0.034171784,0.027534847,0.032262846,-0.002472595,0.014240136,-0.045772376,0.068706166,0.024278667
midwest,Minnesota,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,354721.9,372439.2,383961.6,379438.7,413063.1,448032.4,,,,,,,,,,,,,,,,,,,,0.049947015,0.030937667,-0.011779563,0.088616159,0.084658494
midwest,Minnesota,5,  Personal income,140269.1,147376.2,159595.4,166509,170085.2,177862.3,188674.9,193583.8,203249.5,215185.4,225533.5,216335.4,225971.6,241599.5,255427.7,257507.8,270190.2,282988,288866.6,301749,317564.8,329115.6,349887.4,381789.1,393569,0.05066761,0.082911623,0.043319544,0.021477518,0.045724731,0.060791972,0.026017769,0.049930314,0.05872536,0.048089229,-0.040783742,0.044542872,0.069158691,0.057236046,0.008143596,0.049250547,0.047365893,0.020773319,0.044596364,0.052413761,0.036373049,0.063113994,0.091177047,0.030854469
midwest,Minnesota,6,  Disposable personal income,119290.6,126254.6,135777.2,142680.9,148378.5,157083.2,167398.3,169647.8,177216.9,186764.6,195929.5,193510.5,201253.4,212489.9,224772.6,223396,234034.9,243358.4,248326.8,260814.3,276135.7,285832.7,306139.5,329269.5,335074.2,0.058378447,0.075423787,0.050845797,0.039932465,0.058665507,0.065666475,0.01343801,0.044616553,0.053875787,0.049071933,-0.012346278,0.040012816,0.055832597,0.057803689,-0.006124412,0.047623503,0.039838075,0.020415979,0.050286558,0.058744478,0.035116792,0.071044356,0.075553792,0.017629024
midwest,Minnesota,7,  Personal consumption expenditures,113619.5,122542.9,133055.8,139164.2,144907.2,152249.8,161273.5,167954.3,175471.9,181235.3,187892.3,184896.8,191367,199861.6,205669.3,211942.7,219517.6,225990.2,233506.2,243968.6,255563.4,260981.7,249336.4,278984.2,302147.7,0.078537575,0.085789548,0.045908559,0.041267797,0.05067105,0.059269043,0.041425281,0.044759795,0.032845145,0.036731255,-0.015942644,0.034993575,0.044389053,0.029058609,0.030502365,0.03574032,0.029485563,0.033258079,0.044805663,0.047525788,0.021201393,-0.044621136,0.118906826,0.083027999
midwest,Minnesota,8,  Real per capita personal income 4,,,,,,,,,,,49860,46758,48225,50075,51557,50849,51753,54113,54497,55762,55425,56672,59982,62468,60785,,,,,,,,,,,-0.0622142,0.03137431,0.038361846,0.029595607,-0.013732374,0.017778127,0.045601221,0.007096262,0.023212287,-0.006043542,0.022498872,0.058406268,0.041445767,-0.026941794
midwest,Minnesota,9,  Real per capita PCE 5,,,,,,,,,,,41505,39912,40783,41366,41458,41798,41993,43142,43959,44979,44512,44856,42629,45545,46604,,,,,,,,,,,-0.038380918,0.021823011,0.014295172,0.002224049,0.008201071,0.004665295,0.027361703,0.018937462,0.02320344,-0.010382623,0.007728253,-0.049647762,0.068404138,0.023251729
midwest,Minnesota,10,  Per capita personal income 6,29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42539,45137,47404,47419,49365,51362,51990,53832,56205,57874,61278,66846,68840,0.037713188,0.069708995,0.033046865,0.014124547,0.038537579,0.053672397,0.019631108,0.040992278,0.049870433,0.040120992,-0.046995324,0.038473745,0.061073368,0.050224871,0.000316429,0.041038402,0.040453763,0.012226938,0.03542989,0.044081587,0.029694867,0.058817431,0.090864584,0.029829758
midwest,Minnesota,11,  Per capita disposable personal income 7,24783,25906,27520,28635,29564,31084,32902,33137,34321,35867,37341,36641,37886,39699,41715,41138,42759,44169,44693,46529,48872,50263,53616,57651,58608,0.04531332,0.062302169,0.040515988,0.032442815,0.051413882,0.058486681,0.007142423,0.035730452,0.045045308,0.041096272,-0.01874615,0.03397833,0.047854089,0.050782136,-0.013831955,0.039403957,0.032975514,0.011863524,0.041080259,0.050355692,0.028462105,0.06670911,0.075257386,0.016599886
midwest,Minnesota,12,  Per capita personal consumption expenditures (PCE) 8,23605,25145,26969,27929,28872,30127,31699,32806,33983,34805,35809,35010,36025,37339,38170,39029,40107,41017,42026,43524,45231,45893,43668,48846,52849,0.065240415,0.072539272,0.035596426,0.033764188,0.04346772,0.052179108,0.034922237,0.035877583,0.024188565,0.02884643,-0.022312826,0.028991717,0.03647467,0.02225555,0.022504585,0.027620487,0.022689306,0.024599556,0.035644601,0.039219741,0.01463598,-0.048482339,0.118576532,0.081951439
midwest,Minnesota,13,  Regional price parities (RPPs) 9,,,,,,,,,,,96.757,98.648,97.591,97.266,97.391,97.487,98.338,97.713,97.273,96.765,99.577,98.84,97.899,98.392,97.722,,,,,,,,,,,0.019543806,-0.010714865,-0.003330225,0.001285136,0.000985717,0.008729369,-0.006355631,-0.004502983,-0.005222415,0.029060094,-0.007401308,-0.009520437,0.005035802,-0.006809497
midwest,Minnesota,14,  Implicit regional price deflator 10,,,,,,,,,,,86.278,87.719,88.333,90.267,92.068,93.374,95.507,95.074,95.604,96.765,101.615,102.313,102.436,107.248,113.4,,,,,,,,,,,0.016701824,0.006999624,0.021894422,0.01995192,0.014185167,0.022843618,-0.004533699,0.005574605,0.012143843,0.050121428,0.006869065,0.001202193,0.046975673,0.057362375
midwest,Minnesota,15,  Total employment (number of jobs),3189396,3256931,3330936,3347326,3337728,3347012,3390375,3448129,3495694,3540345,3526233,3424125,3408488,3468973,3505288,3555540,3603670,3662633,3697854,3735638,3776940,3782809,3607496,3711807,3844786,0.021174856,0.022722311,0.004920539,-0.002867363,0.002781533,0.012955735,0.017034694,0.013794438,0.012773143,-0.003986052,-0.02895668,-0.004566714,0.017745405,0.010468516,0.014336055,0.013536622,0.016361931,0.009616306,0.010217818,0.01105621,0.001553903,-0.046344661,0.02891507,0.035825947
midwest,Missouri,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,311273.8,314182.4,320880.8,315276.2,330117.5,336625.8,,,,,,,,,,,,,,,,,,,,0.009344185,0.021320099,-0.017466299,0.047073962,0.019715101
midwest,Missouri,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,279010.9,269359.7,263458,269246,276067.8,273056,276898.7,289282.9,296927.9,299195,306040.8,310971.2,333183.3,345789.3,338258.6,,,,,,,,,,,-0.034590763,-0.021910108,0.021969346,0.025336681,-0.010909639,0.014072937,0.044724659,0.026427418,0.007635187,0.02288073,0.01611027,0.071428158,0.03783503,-0.021778291
midwest,Missouri,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,237207.7,229619.6,227352.1,231862,235134.2,235644.6,237680.6,246631.7,252377.7,256476.3,261329,261270.3,256738.1,275817.8,284034.7,,,,,,,,,,,-0.031989265,-0.009875028,0.019836632,0.014112705,0.002170675,0.00864013,0.037660204,0.023297897,0.016239945,0.018920657,-0.000224621,-0.017346786,0.074315811,0.029791043
midwest,Missouri,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,311273.8,320451.6,334364.7,335278.3,365145.4,396889.9,,,,,,,,,,,,,,,,,,,,0.029484653,0.043417165,0.002732346,0.089081518,0.086936601
midwest,Missouri,5,  Personal income,140839.7,146172.5,156202.1,161531.2,165389.8,171593.2,180453.8,186770.9,197834.1,207411.3,219922,216424.5,221760.2,230858.3,240967.8,242493,250783.7,259350,267048.6,273774.2,286084.3,297349.1,320592.9,345961.2,357194.7,0.037864324,0.068614822,0.034116699,0.023887645,0.037507754,0.051637244,0.035006744,0.059234067,0.048410259,0.060318314,-0.015903366,0.024653863,0.041026749,0.043790931,0.006329476,0.034189441,0.034158121,0.029684211,0.025184929,0.044964427,0.039375806,0.07817007,0.079129326,0.032470404
midwest,Missouri,6,  Disposable personal income,122845.4,127441.6,136189.9,140912.5,147590.2,154872.9,163608.4,167661.3,176593.9,184005.5,195270.5,197477.4,202187.6,208237.2,217574,216900.2,223920.8,230119.7,237097.9,244067.9,256236.6,266044.2,288925.1,307449.8,313150.6,0.037414506,0.06864556,0.03467658,0.047388983,0.049344062,0.056404316,0.024771955,0.05327765,0.04196974,0.061220996,0.011301758,0.023851843,0.029920727,0.04483733,-0.003096877,0.032367882,0.027683449,0.030324218,0.029397139,0.049857847,0.038275563,0.08600413,0.064115925,0.018542214
midwest,Missouri,7,  Personal consumption expenditures,116264.1,123565.6,132088.2,137969.6,143667.6,150360.3,157440,165567.5,171889.2,179924.6,187125.2,184728.4,191635.6,199085,205513.3,209534.9,215540.2,221482.5,227468.9,235234.9,244790.5,250292.5,247702.2,276572.3,300328.4,0.062800985,0.068972271,0.044526309,0.041298953,0.046584616,0.047084902,0.05162284,0.03818201,0.046747556,0.040020097,-0.012808537,0.03739111,0.038872736,0.032289223,0.019568563,0.028660142,0.027569335,0.027028772,0.034140931,0.040621523,0.022476362,-0.010349092,0.11655165,0.085894719
midwest,Missouri,8,  Real per capita personal income 4,,,,,,,,,,,47099,45186,43938,44788,45807,45178,45689,47602,48730,48939,49937,50619,54141,56045,54753,,,,,,,,,,,-0.040616574,-0.027619174,0.019345441,0.02275163,-0.013731526,0.011310815,0.041870034,0.023696483,0.004288939,0.020392734,0.013657208,0.069578617,0.035167433,-0.023052904
midwest,Missouri,9,  Real per capita PCE 5,,,,,,,,,,,40042,38520,37916,38569,39015,38988,39218,40584,41419,41951,42641,42529,41719,44704,45976,,,,,,,,,,,-0.038010089,-0.015680166,0.017222281,0.011563691,-0.000692042,0.005899251,0.034830945,0.020574611,0.012844347,0.01644776,-0.00262658,-0.019045828,0.071550133,0.02845383
midwest,Missouri,10,  Per capita personal income 6,25506,26281,27857,28634,29144,30054,31396,32256,33860,35228,37124,36306,36984,38402,39983,40121,41380,42677,43826,44781,46680,48401,52095,56073,57818,0.030385007,0.059967277,0.027892451,0.017810994,0.031224266,0.044652958,0.027392024,0.049727183,0.040401654,0.053820824,-0.022034264,0.018674599,0.038340904,0.041169731,0.003451467,0.031380075,0.031343644,0.026923167,0.021790718,0.042406378,0.036868038,0.076320737,0.076360495,0.031120147
midwest,Missouri,11,  Per capita disposable personal income 7,22247,22913,24288,24979,26008,27126,28465,28956,30225,31253,32963,33128,33719,34639,36102,35887,36948,37867,38911,39922,41810,43306,46949,49831,50688,0.029936621,0.060009602,0.028450264,0.041194603,0.042986773,0.049362235,0.017249253,0.043825114,0.03401158,0.054714747,0.005005612,0.017839894,0.02728432,0.04223563,-0.005955349,0.029565024,0.024872794,0.02757018,0.02598237,0.04729222,0.035780914,0.084122293,0.061385759,0.01719813
midwest,Missouri,12,  Per capita personal consumption expenditures (PCE) 8,21056,22216,23557,24458,25317,26336,27392,28594,29419,30560,31588,30989,31960,33117,34100,34668,35565,36446,37331,38477,39942,40742,40251,44827,48613,0.055091185,0.060361901,0.038247655,0.035121433,0.040249635,0.040097205,0.043881425,0.028852207,0.038784459,0.033638743,-0.018962897,0.031333699,0.036201502,0.02968264,0.016656891,0.025874005,0.024771545,0.0242825,0.030698347,0.038074694,0.020029042,-0.012051446,0.113686616,0.084458028
midwest,Missouri,13,  Regional price parities (RPPs) 9,,,,,,,,,,,88.468,90.473,93.124,92.522,92.456,92.837,93.373,92.296,91.704,91.718,91.792,92.547,92.207,91.993,91.119,,,,,,,,,,,0.022663562,0.02930156,-0.006464499,-0.000713344,0.004120879,0.00577356,-0.011534384,-0.006414146,0.000152665,0.000806821,0.008225118,-0.003673809,-0.002320865,-0.009500723
midwest,Missouri,14,  Implicit regional price deflator 10,,,,,,,,,,,78.887,80.45,84.29,85.864,87.403,88.92,90.685,89.803,90.13,91.718,93.671,95.798,96.48,100.274,105.737,,,,,,,,,,,0.01981315,0.04773151,0.018673627,0.017923693,0.017356384,0.019849303,-0.009725975,0.003641304,0.017618995,0.02129353,0.022707135,0.007119147,0.039324212,0.054480723
midwest,Missouri,15,  Total employment (number of jobs),3385244,3422953,3470846,3451902,3437481,3444525,3478540,3533298,3586439,3636196,3625622,3522642,3475274,3506549,3528185,3565833,3597160,3655817,3700543,3735873,3777370,3779459,3692620,3796384,3934395,0.011139227,0.01399172,-0.005458035,-0.004177697,0.002049175,0.009875092,0.015741662,0.015040056,0.01387365,-0.002907984,-0.028403402,-0.013446725,0.00899929,0.006170169,0.010670642,0.008785324,0.016306475,0.012234201,0.009547248,0.011107712,0.00055303,-0.022976569,0.028100373,0.036353277
midwest,Nebraska,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,123219.9,125543.4,127481.8,126890.6,133495.7,137078.1,,,,,,,,,,,,,,,,,,,,0.018856532,0.015440079,-0.004637525,0.052053501,0.026835321
midwest,Nebraska,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,90654.1,88747.4,90296.9,99235.9,98938,97877,102249.2,106813,104983,106918.7,106946.6,109229,114875.3,123075.9,121519,,,,,,,,,,,-0.021032695,0.017459666,0.098995647,-0.003001938,-0.010723888,0.044670352,0.04463409,-0.017132746,0.018438223,0.000260946,0.021341492,0.051692316,0.071386974,-0.012649918
midwest,Nebraska,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,71428.2,69713.9,70768.9,73351.7,73720.8,74761.4,76648.4,79116.3,81459.9,83695.8,82982.8,83370,81524.7,89078.7,93515.1,,,,,,,,,,,-0.024000325,0.01513328,0.036496258,0.005031922,0.014115419,0.025240298,0.032197671,0.029622214,0.027447861,-0.008518946,0.004666027,-0.022133861,0.092659035,0.049803152
midwest,Nebraska,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,123219.9,127954.4,132741,135285,149360.3,164933.9,,,,,,,,,,,,,,,,,,,,0.038423177,0.037408639,0.019165141,0.104041838,0.104268671
midwest,Nebraska,5,  Personal income,44747,46824.4,49570.3,51911.8,52804.3,56102.2,58597.2,60598.1,63317.2,68098.6,72377.3,71459.7,75194.1,84096.1,86235.9,86022.2,91084.5,94681.7,93559.7,95823.7,100067.8,104489.9,111347.5,123080.5,126473.5,0.046425459,0.058642503,0.047235946,0.017192623,0.062455141,0.044472409,0.034146683,0.044871044,0.075515026,0.062830954,-0.012678008,0.052258826,0.118386948,0.0254447,-0.002478086,0.058848762,0.039492998,-0.011850231,0.024198453,0.044290713,0.044191038,0.06562931,0.105372819,0.027567324
midwest,Nebraska,6,  Disposable personal income,39377.3,41193.4,43504.3,45845.6,47546.1,51111.1,53402.9,54755.6,56706.2,60707.9,64841.2,65480,68668.6,76509.2,77995,77154.9,81556.5,84839.7,83667.2,85936.9,90267,93922.6,100316.2,109846.9,111484.5,0.046120481,0.056098793,0.053817669,0.037091891,0.074979862,0.044839575,0.025330085,0.035623754,0.070569003,0.068085043,0.009851761,0.048695785,0.11418028,0.019419887,-0.010771203,0.057048872,0.040256755,-0.013820181,0.027127716,0.05038697,0.040497635,0.068073073,0.095006589,0.014908022
midwest,Nebraska,7,  Personal consumption expenditures,33885.1,36147.8,38737.2,40332.1,41528.8,43884.8,46911.4,49719.4,52401.4,54871.6,57074.3,56205.1,59014.4,62248.7,64342.3,65789.7,68366.5,70248.1,72752,75186.4,77805,79902,79234.1,89281.3,97455.4,0.066775662,0.071633682,0.04117231,0.029671155,0.056731714,0.068966932,0.059857519,0.053942727,0.047139962,0.040142806,-0.015229271,0.049983009,0.054805268,0.033632831,0.02249531,0.039167225,0.027522251,0.035643669,0.033461623,0.034828107,0.026951995,-0.00835899,0.12680399,0.091554446
midwest,Nebraska,8,  Real per capita personal income 4,,,,,,,,,,,50465,48959,49338,53822,53224,52247,54103,56086,54640,55273,54975,55874,58531,62680,61750,,,,,,,,,,,-0.029842465,0.007741171,0.090883295,-0.011110698,-0.018356381,0.035523571,0.036652311,-0.025781835,0.011584919,-0.005391421,0.016352888,0.047553424,0.070885514,-0.014837269
midwest,Nebraska,9,  Real per capita PCE 5,,,,,,,,,,,39762,38459,38668,39783,39659,39907,40557,41543,42397,43268,42657,42646,41538,45366,47520,,,,,,,,,,,-0.032769981,0.005434359,0.028835213,-0.003116909,0.006253309,0.016287869,0.024311463,0.020557013,0.020543906,-0.014121291,-0.000257871,-0.025981335,0.09215658,0.047480492
midwest,Nebraska,10,  Per capita personal income 6,26387,27467,28924,30184,30553,32268,33496,34401,35718,38184,40291,39422,41086,45611,46391,45918,48195,49716,48695,49538,51439,53450,56733,62682,64268,0.040929245,0.053045473,0.043562439,0.01222502,0.056131967,0.038056279,0.027018151,0.038283771,0.06904082,0.05518018,-0.021568092,0.042209934,0.110134839,0.017101138,-0.010195943,0.049588397,0.03155929,-0.020536648,0.017311839,0.038374581,0.03909485,0.06142189,0.104859606,0.02530232
midwest,Nebraska,11,  Per capita disposable personal income 7,23220,24164,25384,26657,27510,29397,30527,31085,31989,34040,36096,36123,37521,41496,41958,41185,43154,44548,43546,44427,46401,48044,51113,55943,56651,0.040654608,0.05048833,0.050149701,0.0319991,0.068593239,0.038439297,0.018278901,0.029081551,0.06411579,0.06039953,0.000748005,0.038701105,0.105940673,0.011133603,-0.018423185,0.047808668,0.032302915,-0.022492592,0.020231479,0.04443244,0.03540872,0.063878944,0.094496508,0.012655739
midwest,Nebraska,12,  Per capita personal consumption expenditures (PCE) 8,19982,21204,22603,23451,24029,25241,26816,28226,29560,30767,31772,31007,32246,33762,34613,35118,36174,36886,37865,38869,39995,40872,40371,45469,49522,0.06115504,0.065978117,0.037517144,0.024647137,0.050439053,0.062398479,0.052580549,0.04726139,0.040832206,0.032664868,-0.024077804,0.039958719,0.047013583,0.025205853,0.014589894,0.03007005,0.019682645,0.026541235,0.026515252,0.028969101,0.021927741,-0.01225778,0.126278764,0.089137654
midwest,Nebraska,13,  Regional price parities (RPPs) 9,,,,,,,,,,,89.609,90.668,92.13,91.444,92.325,91.876,91.839,91.256,90.869,89.833,91.88,92.587,92.885,91.951,89.806,,,,,,,,,,,0.011818009,0.016124763,-0.007446,0.009634312,-0.004863255,-0.000402717,-0.006348066,-0.004240817,-0.011401028,0.022786726,0.007694819,0.003218594,-0.010055445,-0.023327642
midwest,Nebraska,14,  Implicit regional price deflator 10,,,,,,,,,,,79.904,80.623,83.39,84.863,87.278,88,89.195,88.791,89.31,89.833,93.76,95.84,97.19,100.227,104.214,,,,,,,,,,,0.008998298,0.034320231,0.017663988,0.028457632,0.008272417,0.013579545,-0.004529402,0.005845187,0.005856007,0.043714448,0.0221843,0.014085977,0.031248071,0.0397797
midwest,Nebraska,15,  Total employment (number of jobs),1138369,1156816,1173756,1175112,1165998,1169210,1180188,1192187,1208036,1230968,1237394,1223251,1219855,1232536,1251331,1266360,1282738,1302877,1310927,1317730,1330415,1328389,1305651,1334434,1372111,0.016204763,0.014643643,0.001155266,-0.007755856,0.002754722,0.009389246,0.010167024,0.013294055,0.018982878,0.005220282,-0.011429666,-0.002776209,0.010395498,0.015249047,0.012010411,0.012933131,0.01570001,0.006178634,0.005189458,0.009626403,-0.001522833,-0.017116974,0.022044942,0.028234442
midwest,North Dakota,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,56530.2,58516.4,59142.3,55699.1,55401,54798.7,,,,,,,,,,,,,,,,,,,,0.035135202,0.010696147,-0.058218906,-0.005351972,-0.010871645
midwest,North Dakota,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,35184.8,34240,36919.8,40431,45488.8,44757.3,46974.6,45624.4,43619.6,44908.7,45825.1,45630.5,49631.1,51826.4,53364.2,,,,,,,,,,,-0.026852504,0.078265187,0.09510344,0.125097079,-0.016080881,0.049540522,-0.028743193,-0.0439414,0.029553228,0.020405846,-0.004246581,0.087673815,0.044232346,0.029672136
midwest,North Dakota,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,27970.9,28144.2,28755.6,30809.8,32695.2,34419.3,35854.8,37275.5,36563.2,37235.5,36889.3,36829.6,36466.7,38616.8,39865.5,,,,,,,,,,,0.006195725,0.021723837,0.07143652,0.061194815,0.052732511,0.041706252,0.039623704,-0.019109066,0.01838734,-0.009297579,-0.001618355,-0.009853487,0.058960641,0.032335667
midwest,North Dakota,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,56530.2,60377.1,60516.3,55347.6,63208.6,72651.3,,,,,,,,,,,,,,,,,,,,0.068050352,0.00230551,-0.085410047,0.142029645,0.149389482
midwest,North Dakota,5,  Personal income,15078.7,15257.9,16591.1,16930.7,17356.1,18949.5,19330.9,20501.4,21508.5,23828.8,26942.6,26722.1,29758.8,33588,39538.6,39538.7,42181.3,40408.2,39232,39743.7,42565.9,43968.2,47621.4,51261.7,54828.5,0.011884314,0.087377686,0.020468806,0.025125955,0.091806339,0.02012718,0.060550724,0.049123474,0.107878281,0.130673806,-0.008184065,0.113640021,0.128674543,0.177164463,2.52917E-06,0.066835784,-0.042035215,-0.029107953,0.013042924,0.071009997,0.032944211,0.083087322,0.076442524,0.069580213
midwest,North Dakota,6,  Disposable personal income,13609.3,13756.4,14977.4,15225,15878.4,17510.3,17848,18801.6,19538.3,21527.7,24232.2,24522.5,27179.4,30154.4,35356.8,34942.8,37298.9,36000.1,35297.9,35877.1,38776.2,39843.4,43678.5,46526.7,49357.5,0.010808785,0.088758687,0.016531574,0.042916256,0.102774839,0.019285792,0.053428956,0.039182836,0.101820527,0.125628841,0.011979928,0.108345397,0.109457898,0.172525403,-0.011709204,0.067427338,-0.034821402,-0.019505501,0.016408908,0.08080642,0.027522037,0.096254336,0.065208283,0.060842484
midwest,North Dakota,7,  Personal consumption expenditures,12407.9,12999.5,13768.7,14510,15192,16036,17059.4,18124.6,19268.6,20413.5,21436.2,21992.6,23210.5,25631.3,28456.5,30444.7,32237.4,33069.1,32956,33030.2,34336.1,35554.3,35084.4,38281.5,41013,0.047679301,0.059171507,0.053839506,0.047002068,0.055555556,0.063818907,0.062440649,0.063118634,0.059417913,0.050099199,0.025956093,0.055377718,0.104297624,0.110224608,0.069868044,0.058883812,0.025799227,-0.003420111,0.002251487,0.039536545,0.035478694,-0.013216404,0.091125971,0.071353003
midwest,North Dakota,8,  Real per capita personal income 4,,,,,,,,,,,53507,51491,54692,58846,64517,61532,63104,59820,57045,58576,59405,58763,63669,66621,68481,,,,,,,,,,,-0.037677313,0.062166204,0.075952607,0.096370187,-0.046266875,0.025547683,-0.052041075,-0.046389168,0.026838461,0.014152554,-0.010807171,0.083487909,0.046364793,0.027919125
midwest,North Dakota,9,  Real per capita PCE 5,,,,,,,,,,,42537,42324,42597,44843,46371,47319,48166,48873,47817,48568,47821,47429,46781,49640,51158,,,,,,,,,,,-0.005007405,0.006450241,0.052726718,0.034074437,0.020443812,0.017899787,0.014678404,-0.021607022,0.015705711,-0.015380497,-0.008197236,-0.013662527,0.061114555,0.030580177
midwest,North Dakota,10,  Per capita personal income 6,23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44084,48886,56077,54358,56665,52981,51307,51839,55180,56622,61091,65895,70360,0.017048871,0.091162437,0.025191549,0.026573057,0.090671765,0.010821562,0.058264408,0.043774227,0.102083333,0.122517191,-0.019207771,0.096998955,0.108928409,0.147097328,-0.030654279,0.042440855,-0.065013677,-0.031596233,0.010368956,0.064449546,0.026132657,0.078926919,0.078636788,0.067759314
midwest,North Dakota,11,  Per capita disposable personal income 7,21017,21352,23329,23824,24881,27410,27684,29101,30086,32976,36851,36878,40263,43889,50147,48039,50106,47201,46162,46796,50267,51310,56033,59808,63339,0.015939478,0.092590858,0.021218226,0.044367025,0.101643825,0.009996352,0.0511848,0.033847634,0.096057967,0.117509704,0.00073268,0.091789143,0.09005787,0.142586981,-0.042036413,0.04302754,-0.057977089,-0.022012246,0.01373424,0.074173006,0.020749199,0.092048334,0.067371014,0.059038925
midwest,North Dakota,12,  Per capita personal consumption expenditures (PCE) 8,19162,20177,21446,22705,23806,25103,26461,28053,29670,31270,32599,33073,34383,37306,40360,41855,43307,43358,43099,43083,44511,45787,45008,49209,52631,0.052969419,0.062893393,0.058705586,0.048491522,0.054482063,0.05409712,0.060164015,0.057640894,0.053926525,0.042500799,0.014540323,0.039609349,0.085012942,0.081863507,0.037041625,0.034691196,0.001177639,-0.005973523,-0.000371238,0.033145324,0.028667071,-0.017013563,0.093338962,0.069540125
midwest,North Dakota,13,  Regional price parities (RPPs) 9,,,,,,,,,,,85.946,87.879,89.176,89.643,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.261,91.948,90.946,88.656,,,,,,,,,,,0.022490866,0.01475893,0.005236835,0.02705175,0.003052092,0.002458067,-0.015101106,0.005812806,-0.032734331,0.028250626,0.022464149,-0.014078768,-0.010897464,-0.025179777
midwest,North Dakota,14,  Implicit regional price deflator 10,,,,,,,,,,,76.637,78.143,80.716,83.192,87.036,88.452,89.911,88.715,90.134,88.706,93.079,96.537,96.209,99.132,102.879,,,,,,,,,,,0.019651082,0.032926814,0.030675455,0.046206366,0.01626913,0.016494822,-0.013302043,0.01599504,-0.015843078,0.04929768,0.037151237,-0.003397661,0.030381773,0.037798087
